metric,k,severity,family,m,mean_dS,sd,n,sem
cometkiwi,3,major,accuracy,1,-0.22122521049716845,0.08543252735816698,294,0.004982526177711268
cometkiwi,3,major,accuracy,2,-0.3348720618048493,0.06973532519415018,294,0.004067046756493338
cometkiwi,3,major,accuracy,3,-0.40486410929232225,0.060883912695104514,294,0.0035508218963610718
cometkiwi,3,major,fluency,1,-0.1952951646344677,0.10212105410860213,314,0.005763024487993291
cometkiwi,3,major,fluency,2,-0.30342630719303326,0.08605047352787461,314,0.004856109158618516
cometkiwi,3,major,fluency,3,-0.37241052670083985,0.06729836380471145,314,0.0037978663850842848
cometkiwi,3,minor,accuracy,1,-0.04265301088684971,0.04562215397990124,309,0.0025953536612712044
cometkiwi,3,minor,accuracy,2,-0.08810351764885739,0.0711831577935918,309,0.004049468363151675
cometkiwi,3,minor,accuracy,3,-0.12840312208172572,0.08909058659178418,309,0.0050681863946549
cometkiwi,3,minor,fluency,1,-0.03515192170937856,0.036705857685988906,300,0.002119213681584179
cometkiwi,3,minor,fluency,2,-0.06811023443937302,0.055588050846139964,300,0.003209377611974551
cometkiwi,3,minor,fluency,3,-0.1008757288257281,0.06814005566918467,300,0.003934067948319985
cometkiwi,4,major,accuracy,1,-0.18249107917555335,0.07828229002367956,294,0.004565515867966214
cometkiwi,4,major,accuracy,2,-0.29045969643154923,0.07025313135530482,294,0.004097245825076629
cometkiwi,4,major,accuracy,3,-0.35876260890441686,0.06142875062381156,294,0.0035825974896431466
cometkiwi,4,major,accuracy,4,-0.4067701918332755,0.057491341854497904,294,0.0033529631469389008
cometkiwi,4,major,fluency,1,-0.15837788562865773,0.09483604772551289,314,0.005351907793719037
cometkiwi,4,major,fluency,2,-0.2592156208624506,0.09133249316945564,314,0.005154190771721733
cometkiwi,4,major,fluency,3,-0.32756494109038337,0.07712577870235762,314,0.004352459492286008
cometkiwi,4,major,fluency,4,-0.37647720222260544,0.06450488189756126,314,0.0036402210809087904
cometkiwi,4,minor,accuracy,1,-0.03230436913018088,0.03712487597794825,309,0.0021119604049395645
cometkiwi,4,minor,accuracy,2,-0.06747970640852227,0.05956987936897249,309,0.003388812036140548
cometkiwi,4,minor,accuracy,3,-0.10095127751526323,0.07437266637925379,309,0.004230913167119076
cometkiwi,4,minor,accuracy,4,-0.13305680825100746,0.08787737477526043,309,0.004999169185794056
cometkiwi,4,minor,fluency,1,-0.027727084159851076,0.031063234862023406,300,0.001793436700948978
cometkiwi,4,minor,fluency,2,-0.05477363655964534,0.044488879852638503,300,0.0025685666758865754
cometkiwi,4,minor,fluency,3,-0.0789856297771136,0.05445232191804165,300,0.00314380627173815
cometkiwi,4,minor,fluency,4,-0.1056044085820516,0.0652140446218655,300,0.003765134621737831
cometkiwi,6,major,accuracy,1,-0.13359309074019088,0.06440710051057695,294,0.003756298382453891
cometkiwi,6,major,accuracy,2,-0.2238502842025692,0.06630722547250474,294,0.0038671159206502817
cometkiwi,6,major,accuracy,3,-0.28229695953884903,0.06809626474872536,294,0.003971454810091678
cometkiwi,6,major,accuracy,4,-0.3268797905469427,0.06638439949440343,294,0.003871616801008619
cometkiwi,6,major,accuracy,5,-0.35835695155218344,0.06828850201160554,294,0.003982666314939432
cometkiwi,6,major,accuracy,6,-0.38535530155613307,0.06826470826997606,294,0.003981278635747437
cometkiwi,6,major,fluency,1,-0.11826804593490188,0.07998217137163394,314,0.00451365505615923
cometkiwi,6,major,fluency,2,-0.2016554007864302,0.07962950783755739,314,0.00449375310155598
cometkiwi,6,major,fluency,3,-0.2586623350526117,0.07648388469725792,314,0.004316235317923769
cometkiwi,6,major,fluency,4,-0.3046006290775955,0.07099175015028286,314,0.004006296234726379
cometkiwi,6,major,fluency,5,-0.33526842001896756,0.06977592389165976,314,0.003937683189524763
cometkiwi,6,major,fluency,6,-0.36132533402199957,0.06838462011128815,314,0.003859167374872162
cometkiwi,6,minor,accuracy,1,-0.025366504504842666,0.025792407276224567,309,0.0014672787849262436
cometkiwi,6,minor,accuracy,2,-0.048793098783801676,0.04151024494712044,309,0.0023614353292313963
cometkiwi,6,minor,accuracy,3,-0.07229262657921677,0.05416769140893017,309,0.0030814923004887024
cometkiwi,6,minor,accuracy,4,-0.09583915948482007,0.06281976660364944,309,0.0035736916614417386
cometkiwi,6,minor,accuracy,5,-0.11898635168677395,0.0734649034532173,309,0.004179272338527489
cometkiwi,6,minor,accuracy,6,-0.13984471771709356,0.08147829389953191,309,0.004635138193594321
cometkiwi,6,minor,fluency,1,-0.019160232345263165,0.01984382883220739,300,0.0011456839918027792
cometkiwi,6,minor,fluency,2,-0.03922309428453445,0.03131952317837543,300,0.0018082335137925775
cometkiwi,6,minor,fluency,3,-0.05851967483758926,0.03845019026639939,300,0.0022199227700698014
cometkiwi,6,minor,fluency,4,-0.07651085873444875,0.04484556672787738,300,0.002589160002230133
cometkiwi,6,minor,fluency,5,-0.095391892294089,0.0529376172543148,300,0.003056354757203602
cometkiwi,6,minor,fluency,6,-0.1128802952170372,0.0565892089981701,300,0.0032671795048321494
